GeneID,GeneName,IsCoding,log2FoldChange,stat,pvalue,padj,MDA-Enza_1,MDA-Enza_2,MDA-Enza_3,MDA-DMSO_1,MDA-DMSO_2,MDA-DMSO_3
ENSG00000241627,UBQLN4P1,FALSE,-0.306549603,-0.745943091,0.455701793,0.537493152,19.74738359,24.70300202,29.32571605,27.9419423,28.14639695,34.57475574
ENSG00000216901,AL022393.7,FALSE,0.600349718,0.745643883,0.455882567,0.537677127,15.04562559,7.666448904,7.331429012,2.069773504,11.05751309,6.722869172
ENSG00000231955,AC007383.4,FALSE,0.632866045,0.745366475,0.456050205,0.537845592,2.821054798,8.51827656,17.1066677,8.279094016,4.02091385,5.762459291
ENSG00000253741,CTD-2292P10.4,FALSE,-0.221732494,-0.74515243,0.456179577,0.537953438,53.60004116,47.70234874,46.43238375,47.60479059,62.32416467,62.42664232
ENSG00000268364,SMC5-AS1,FALSE,-0.656285341,-0.745133097,0.456191263,0.537953438,1.880703199,9.370104216,3.665714506,7.244207264,7.036599237,9.604098818
ENSG00000224713,AC025165.8,FALSE,1.295437925,0.744979229,0.456284277,0.538033866,0.940351599,8.51827656,0,1.034886752,0,2.881229645
ENSG00000216809,RP11-57K17.1,FALSE,-0.356676782,-0.744604191,0.456511034,0.538271981,27.27019638,21.2956914,40.32285957,19.66284829,65.33985006,27.85188657
ENSG00000135900,MRPL44,TRUE,0.042696031,0.744302765,0.456693329,0.538457649,4414.950759,4432.911122,4404.966932,4405.512903,4142.546494,4318.963238
ENSG00000269867,CTD-2583A14.8,FALSE,-0.555395253,-0.743736267,0.457036044,0.538832427,2.821054798,9.370104216,10.99714352,9.313980768,8.0418277,16.32696799
ENSG00000269051,CTD-2245F17.3,FALSE,0.121116072,0.743641057,0.457093657,0.538863393,320.6598954,299.8433349,235.8276332,279.419423,224.1659471,286.2021448
ENSG00000257103,LSM14A,TRUE,0.036670366,0.743610735,0.457112007,0.538863393,26128.60954,25527.5712,26413.91683,25921.84336,25426.24873,24760.32716
ENSG00000170608,FOXA3,TRUE,0.510760831,0.743506671,0.457174984,0.538908339,12.22457079,8.51827656,12.21904835,8.279094016,8.0418277,6.722869172
ENSG00000158470,B4GALT5,TRUE,0.040608496,0.742969545,0.457500119,0.539251022,14391.14088,15056.05382,15664.81999,14887.88081,14393.86635,14573.25955
ENSG00000243970,PPIEL,FALSE,-0.26652844,-0.742944261,0.457515427,0.539251022,38.55441557,34.07310624,37.8790499,32.08148931,59.30847929,41.29762492
ENSG00000229996,AC093585.6,FALSE,-0.821724963,-0.742095195,0.458029661,0.539827784,3.761406397,4.25913828,1.221904835,2.069773504,3.015685387,11.52491858
ENSG00000236937,PTGES3P4,FALSE,-0.48289811,-0.741892312,0.458152584,0.539937241,7.522812795,10.22193187,8.553333848,11.38375427,10.05228462,15.36655811
ENSG00000254574,RP11-429J17.4,FALSE,-0.438999258,-0.741859727,0.458172329,0.539937241,13.16492239,9.370104216,9.775238683,12.41864102,15.07842694,16.32696799
ENSG00000238035,AC138035.2,FALSE,0.171722267,0.741162505,0.458594915,0.540405875,100.6176211,108.1821123,101.4181013,76.58161965,111.5803593,87.39729924
ENSG00000167117,LINC00483,FALSE,0.756336154,0.74103973,0.458669351,0.540464222,7.522812795,9.370104216,1.221904835,3.104660256,3.015685387,4.802049409
ENSG00000198250,ANTXRL,TRUE,0.874370225,0.740699576,0.458875616,0.540677893,9.403515993,1.703655312,3.665714506,5.17443376,1.005228462,1.920819764
ENSG00000255495,FAM85A,FALSE,0.266766215,0.740525093,0.458981441,0.5407732,31.97195438,47.70234874,51.32000309,30.01171581,34.17776772,44.17885456
ENSG00000221406,MIR320B2,FALSE,-0.470967035,-0.740389193,0.459063874,0.54084094,6.582461195,11.07375953,13.44095319,8.279094016,18.09411232,16.32696799
ENSG00000230216,HSPB1P2,FALSE,-0.593725515,-0.740259525,0.459142535,0.540904227,6.582461195,2.555482968,9.775238683,6.209320512,12.06274155,9.604098818
ENSG00000104936,DMPK,TRUE,0.091893206,0.739390811,0.459669721,0.541495875,958.2182797,874.8270027,780.7971898,671.641502,930.8415563,851.8835651
ENSG00000248685,RP11-548L20.1,FALSE,0.203151273,0.738833354,0.460008196,0.541865168,72.40707315,71.55352311,56.20762243,53.8141111,59.30847929,61.46623243
ENSG00000147548,WHSC1L1,TRUE,0.038809543,0.738683055,0.460099477,0.54194173,14909.27461,14751.09952,15249.37235,14166.56475,15117.63085,14430.15847
ENSG00000271784,RP1-28H20.3,FALSE,-0.451862198,-0.738644042,0.460123173,0.54194173,21.62808678,10.22193187,7.331429012,24.83728205,10.05228462,19.20819764
ENSG00000112941,PAPD7,TRUE,0.043652613,0.738571872,0.460167009,0.541957766,4442.220955,4351.135667,4395.191693,4146.791215,4455.172546,4193.149544
ENSG00000270792,RP11-103J8.1,FALSE,0.507383041,0.73853934,0.46018677,0.541957766,12.22457079,11.07375953,10.99714352,11.38375427,8.0418277,4.802049409
ENSG00000189079,ARID2,TRUE,0.042367913,0.738471122,0.46022821,0.541977136,8817.676947,9164.813751,9243.71008,8470.548065,9223.976372,8741.650744
ENSG00000264968,RP11-387H17.4,FALSE,0.441605608,0.738348893,0.460302463,0.542035143,16.92632879,30.66579562,8.553333848,10.34886752,19.09934079,12.48532846
ENSG00000239305,RNF103,TRUE,0.051074423,0.738251007,0.460361932,0.542075738,5799.148313,5106.706798,5442.364137,5490.074219,5326.705623,4962.437859
ENSG00000239774,RP11-496B10.3,FALSE,-0.461503917,-0.737991055,0.460519885,0.542232285,12.22457079,13.6292425,7.331429012,23.8023953,9.047056162,13.44573834
